Sample_ID	otu1	otu2	otu3	otu4	otu5	otu6	otu7	otu8	otu9	otu10	Class
taxonomy	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__Rubrivivax; s__Rubrivivax gelatinosus	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Xenorhabdus; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera; s__	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__	NA
AmzC9adltF.418726	0	0	61.46665	29.20756	0	7.84681	0	22.66855	0	0.87187	1
AmzC8adltM.418389	0.56367	2.2547	78.91444	0	0.56367	6.20042	0	0.56367	0	0	1
AmzC10adltF1.418809	1.09643	39.83696	423.22205	15.7155	0	1.09643	1.09643	494.49001	1.09643	0.73095	1
AmzC11adltF1.418359	0.35749	0.35749	184.10499	105.10071	0	0	0	63.27492	0.35749	0	1
AmzC12adltF.418473	3.45638	0	309.9218	72.58392	0	4.03244	0	1.15213	0	1.15213	1
AmzC3adltM.418849	1.37587	17.88636	31.64509	0	0	0	0	5.50349	0	0	1
AmzC7adltF.418582	0.43802	0.43802	70.08381	53.4389	0	1.7521	0	0.43802	0	0.43802	1
AmzC30adltF.418737	1.4256	0	197.44576	0.7128	0	0	0	2085.65446	0	0	1
AmzC31adltF.418549	0.73846	1.47692	66.46121	1061.9025	0	54.64589	0	10.33841	0	0	1
AmzC11adltF3.418391	0.43181	2.15906	2.59087	0.86362	1.29544	0	3.02268	204.67892	0.86362	0.86362	1
AmzC9adltM.418480	0	3.88414	47.58072	0	0	0	0	2.91311	0	0	1
AmzC10adltF2.418591	0	25.4473	277.91135	28.79563	0.33483	1.67416	0.33483	513.96857	0	0.33483	1
AmzC5adltF.418439	0	2.0023	151.17343	1838.10874	0	7.00804	0	26.02986	0	0	1
AmzC2adltF.418621	0	30.73792	107.58274	26.12724	0.76845	0	0	40.72775	0	0	1
AmzC32adltF.418671	0	6.21341	151.45182	0	0	1.55335	0	1.55335	0.77668	0	1
AmzC4adltF.418372	0	1.23825	281.08187	0	0	0.61912	0	1.23825	0	0	1
AmzC11adltF2.418843	0	0.4468	24.574	0	7.1488	0	0	16.9784	0	0	1
AmzC3adltF.418561	0	1.34406	19.82487	118.61318	1.00804	0.33601	0	4.70421	0	1.00804	1
AmzC6adltF.418525	0	0	182.27067	571.53491	0	5.33239	0	12.60382	0	0	1
AmzC29adltF.418659	0	0	18.61157	2018.86549	0	10.28534	0.24489	959.72026	0	0	1
USygt33.M.418638	4.70983	9.86822	174.03951	0	0.22428	0	0.22428	1351.49753	0.22428	0	0
USygt13.M.418644	0.94431	0.62954	305.011	0	0	0	0	610.02199	0	0.62954	0
USygt22.F.418477	0.7485	2.61976	37.79936	0	0	0	0.37425	2078.96481	0	0	0
USygt14.F.418375	0.25452	1.01809	19.85267	0.50904	0	0	2.03617	1947.85243	0.25452	0.76356	0
USygt11.M.418479	1.12827	0.8462	253.0143	0	0	0	0.8462	3211.33533	0	0	0
USygt25.F.418747	0.6184	0.3092	308.89122	0	0	0	1.2368	1678.33988	0	0.6184	0
