#OTU ID	merged242	merged66	merged242	merged187	merged19	merged187	merged19	merged187	merged364	Label
taxonomy	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	
IBD.10	0.0	0.0	0.0	0.00331125827815	0.00331125827815	0.00331125827815	0.00331125827815	0.00331125827815	0.00331125827815	0
IBD.18	0.0	0.0	0.0	0.00100200400802	0.00100200400802	0.00100200400802	0.00100200400802	0.00100200400802	0.00100200400802	0
IBD.2	0.0015015015015	0.0015015015015	0.0015015015015	0.003003003003	0.003003003003	0.003003003003	0.003003003003	0.003003003003	0.003003003003	0
IBD.20	0.00198412698413	0.00198412698413	0.00198412698413	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.22	0.00464576074332	0.00464576074332	0.00464576074332	0.00116144018583	0.00116144018583	0.00116144018583	0.00116144018583	0.00116144018583	0.00116144018583	0
IBD.29	0.00287081339713	0.00287081339713	0.00287081339713	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.3	0.0	0.0	0.0	0.00338524035206	0.00338524035206	0.00338524035206	0.00338524035206	0.00338524035206	0.00338524035206	0
IBD.30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.31	0.0	0.0	0.0	0.00298062593145	0.00298062593145	0.00298062593145	0.00298062593145	0.00298062593145	0.00298062593145	0
IBD.33	0.0	0.0	0.0	0.000793021411578	0.000793021411578	0.000793021411578	0.000793021411578	0.000793021411578	0.000793021411578	0
IBD.34	0.00253592561285	0.00253592561285	0.00253592561285	0.0050718512257	0.0050718512257	0.0050718512257	0.0050718512257	0.0050718512257	0.0050718512257	0
IBD.36	0.00284738041002	0.00284738041002	0.00284738041002	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.38	0.00788954635108	0.00788954635108	0.00788954635108	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.4	0.0	0.0	0.0	0.000805801772764	0.000805801772764	0.000805801772764	0.000805801772764	0.000805801772764	0.000805801772764	0
IBD.40	0.0	0.0	0.0	0.000791139240506	0.000791139240506	0.000791139240506	0.000791139240506	0.000791139240506	0.000791139240506	0
IBD.43	0.0	0.0	0.0	0.0111731843575	0.0111731843575	0.0111731843575	0.0111731843575	0.0111731843575	0.0111731843575	0
IBD.46	0.0	0.0	0.0	0.00435255712731	0.00435255712731	0.00435255712731	0.00435255712731	0.00435255712731	0.00435255712731	0
IBD.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.51	0.0079086115993	0.0079086115993	0.0079086115993	0.00351493848858	0.00351493848858	0.00351493848858	0.00351493848858	0.00351493848858	0.00351493848858	0
IBD.58	0.0	0.0	0.0	0.00727802037846	0.00727802037846	0.00727802037846	0.00727802037846	0.00727802037846	0.00727802037846	0
