FS_WITH_BEST_MCC	400
STEP	MCC	MCC_MIN	MCC_MAX	SENS	SENS_MIN	SENS_MAX	SPEC	SPEC_MIN	SPEC_MAX	PPV	PPV_MIN	PPV_MAX	NPV	NPV_MIN	NPV_MAX	AUC	AUC_MIN	AUC_MAX	ACC	ACC_MIN	ACC_MAX	DOR	DOR_MIN	DOR_MAX	DOR_APPROX
1	0.32639891648749575	0.25982429912731014	0.39738139491743718	0.42909090909090908	0.37818181818181806	0.4818181818181817	0.86679999999999979	0.84412307692307675	0.88867692307692292	0.58099894549894548	0.52312248862248867	0.64375385725385736	0.78291772108462065	0.76479538950880477	0.80206137517802445	0.5070853146853147	0.42884195804195807	0.58343496503496506	0.73593093093093087	0.70998498498498508	0.76283783783783787	inf	inf	inf	4.8909929037317479
2	0.47120672774439304	0.40771978313651169	0.53463605057903019	0.51272727272727259	0.45818181818181825	0.56363636363636349	0.91184615384615375	0.89393846153846146	0.93043076923076884	0.71091619491619507	0.65958075258075266	0.76318315018315019	0.81830180440516931	0.80017572938123538	0.83597122295164583	0.78940979020978996	0.74774825174825166	0.82929230769230766	0.79262762762762762	0.7694894894894897	0.81557057057057047	inf	inf	inf	10.884152535750548
3	0.5860621642778896	0.52586923481367887	0.64654633109003545	0.57999999999999996	0.52000000000000002	0.64363636363636378	0.94744615384615327	0.9356923076923076	0.95901538461538394	0.8134343434343434	0.77246681096681091	0.85018037518037504	0.84689784881148156	0.82773093511237184	0.86813102733792358	0.85783496503496504	0.82532027972027966	0.89051188811188819	0.83768768768768798	0.81651651651651658	0.85962462462462452	inf	inf	inf	24.895951823352004
4	0.67236318426423891	0.62788668623072463	0.71480529941001547	0.65818181818181809	0.60363636363636364	0.71090909090909049	0.95729230769230755	0.94793846153846117	0.96744615384615362	0.87092646242646221	0.84282839382839381	0.8991039516039514	0.87322908713005376	0.85566223969104316	0.89014187274020418	0.90264055944055965	0.87428811188811228	0.928316083916084	0.86804804804804814	0.85135135135135143	0.88384384384384374	inf	inf	inf	43.160770126923623
5	0.76566056661605086	0.72713325302184939	0.80149738093686451	0.75636363636363624	0.71272727272727254	0.79272727272727261	0.96596923076923036	0.95606153846153785	0.97606153846153798	0.91010711510711473	0.88346842046842011	0.93683333333333296	0.90567878101073307	0.89079724959051954	0.91817173733035806	0.94407272727272729	0.92648671328671328	0.95882797202797188	0.9034084084084083	0.88831831831831853	0.91731231231231203	inf	inf	inf	88.121130333862965
6	0.84220274363930514	0.81198537692688399	0.87076050098947022	0.84727272727272707	0.81454545454545435	0.87818181818181795	0.97141538461538413	0.96221538461538414	0.9798461538461537	0.9291176046176044	0.90751803751803739	0.94952525252525233	0.9387058088782223	0.92638049485635643	0.95076085498154417	0.97229650349650332	0.96333146853146812	0.98055664335664305	0.93432432432432411	0.92193693693693735	0.94573573573573566	inf	inf	inf	188.52947357629449
7	0.89182976005319314	0.86860944255956452	0.91226108459136401	0.90727272727272701	0.88545454545454516	0.92727272727272736	0.97455384615384577	0.96686153846153777	0.9822769230769226	0.94081196581196536	0.92279797979797973	0.95918181818181802	0.96189947089947081	0.95309198209198187	0.97022743182743154	0.98475804195804184	0.97934825174825146	0.98971468531468498	0.954399399399399	0.94471471471471491	0.963033033033033	inf	inf	inf	374.7262014842143
8	0.9074844370834374	0.87900051514761257	0.93306439691410592	0.92909090909090897	0.90181818181818163	0.95272727272727264	0.97443076923076899	0.96587692307692274	0.98295384615384573	0.94127994227994161	0.92221933621933616	0.95986868686868676	0.97089891653684735	0.96022512736305798	0.98043402523402501	0.99056503496503479	0.98649230769230778	0.99422937062937056	0.96087087087087086	0.94941441441441465	0.97132132132132165	inf	inf	inf	499.33225338639926
9	0.92084172658716623	0.89545048417075213	0.94392239658609822	0.94909090909090887	0.9272727272727268	0.96909090909090911	0.9736923076923073	0.96529230769230734	0.9814769230769228	0.94053885003884974	0.92266355866355854	0.9583372183372183	0.97881191248087773	0.96999365360054968	0.98701925111925104	0.99213146853146872	0.98822097902097927	0.99548251748251759	0.9663363363363362	0.95594594594594595	0.97608108108108116	inf	inf	inf	690.00375939848266
10	0.93430856983600252	0.91226597885566119	0.95428685825365955	0.95999999999999985	0.93999999999999984	0.97818181818181804	0.97670769230769205	0.96796923076923047	0.98452307692307661	0.9490844710844708	0.93079442779442745	0.96527272727272728	0.98323189113623866	0.97543783334218115	0.99066130841783007	0.99493986013986013	0.99236083916083928	0.99710769230769225	0.97172672672672677	0.96202702702702736	0.98040540540540544	inf	inf	inf	1006.3830911492583
