STEP	STABILITY
1	0.3831481810115356
2	0.29611460619636226
3	0.289269031495019
4	0.2821444484037062
5	0.2726748376604402
6	0.27786288838866796
7	0.2817204798288853
8	0.2807070219412529
9	0.27606167520115077
10	0.27000987450600844
20	0.20854026979226725
30	0.17711858613284664
40	0.1686288912599045
50	0.17689697754595765
60	0.1875644977202727
70	0.19819941407541158
80	0.20760002344485645
90	0.21572805190031913
100	0.2213531837183459
200	0.24226151393136514
300	0.2698807228743408
346	0.28275988212829434
