FS_WITH_BEST_MCC	346
STEP	MCC	MCC_MIN	MCC_MAX	SENS	SENS_MIN	SENS_MAX	SPEC	SPEC_MIN	SPEC_MAX	PPV	PPV_MIN	PPV_MAX	NPV	NPV_MIN	NPV_MAX	AUC	AUC_MIN	AUC_MAX	ACC	ACC_MIN	ACC_MAX	DOR	DOR_MIN	DOR_MAX	DOR_APPROX
1	0.30282790867460252	0.21491567481977417	0.39895882406037086	0.27666666666666662	0.18666666666666668	0.37333333333333335	0.97666666666666657	0.93000000000000016	1.0	0.54714285714285715	0.41714285714285715	0.68999999999999995	0.61498268398268441	0.56950649350649385	0.66100432900432937	0.35066666666666663	0.25066666666666665	0.46733333333333327	0.64848484848484855	0.61030303030303035	0.68984848484848493	nan	nan	nan	16.009874917708949
2	0.44390207899588807	0.35269931266354232	0.53989500661344014	0.41733333333333328	0.32266666666666666	0.52400000000000002	0.96999999999999997	0.92000000000000015	0.9966666666666667	0.72095238095238101	0.59666666666666668	0.8409523809523809	0.67138095238095274	0.62114718614718634	0.7217532467532467	0.52933333333333321	0.41999999999999998	0.64800000000000002	0.71060606060606046	0.66833333333333345	0.7566666666666666	nan	nan	nan	23.158657513348565
3	0.54844100819077257	0.46714719410077699	0.6340332800019618	0.49533333333333313	0.40533333333333327	0.58933333333333326	0.98999999999999999	0.97999999999999998	1.0	0.85095238095238102	0.75380952380952382	0.93999999999999995	0.72116883116883146	0.6778831168831172	0.76896969696969708	0.64400000000000002	0.53866666666666674	0.74666666666666659	0.75742424242424222	0.71712121212121194	0.80060606060606065	nan	nan	nan	97.169088507265357
4	0.62047410563606853	0.54365486970339949	0.70094474778162064	0.57533333333333325	0.48800000000000004	0.66666666666666674	0.98999999999999999	0.97999999999999998	1.0	0.89095238095238105	0.80857142857142861	0.97047619047619049	0.75953679653679673	0.71610822510822525	0.80596103896103888	0.7326666666666668	0.6386666666666666	0.82333333333333325	0.79469696969696924	0.755	0.83606060606060595	nan	nan	nan	134.12401883830438
5	0.70063035973235344	0.63058734999531729	0.76869167794441839	0.66066666666666662	0.58000000000000007	0.74133333333333329	0.98999999999999999	0.97999999999999998	1.0	0.95095238095238099	0.89095238095238105	0.99428571428571433	0.79881385281385286	0.75824675324675328	0.84215584415584421	0.85600000000000009	0.78666666666666674	0.91600000000000004	0.8359090909090906	0.79969696969696935	0.87303030303030293	nan	inf	nan	192.7485265225931
6	0.72666058662390864	0.66701037298016286	0.78933354853675708	0.68399999999999994	0.60599999999999976	0.76200000000000012	0.98999999999999999	0.97999999999999998	1.0	0.99095238095238103	0.98095238095238091	1.0	0.80881385281385287	0.765917748917749	0.85199999999999998	0.86733333333333329	0.80399999999999994	0.92466666666666697	0.84666666666666623	0.81181818181818177	0.88242424242424222	inf	inf	inf	214.29113924050608
7	0.74037187351587452	0.68208105226875648	0.79853448966677631	0.70799999999999996	0.62999999999999989	0.78000000000000003	0.98333333333333328	0.96666666666666656	0.9966666666666667	0.98523809523809536	0.96999999999999997	0.99714285714285722	0.82100432900432907	0.77944155844155849	0.86166666666666658	0.88733333333333331	0.82799999999999985	0.93799999999999994	0.85393939393939367	0.81909090909090887	0.88696969696969707	inf	inf	inf	143.05479452054749
8	0.78893694959719141	0.73369512854626096	0.84386850059134799	0.76666666666666683	0.69599999999999995	0.83533333333333348	0.98333333333333328	0.96666666666666656	0.9966666666666667	0.98523809523809536	0.96999999999999997	0.99714285714285722	0.8538138528138528	0.81563203463203449	0.89261904761904731	0.90333333333333343	0.85333333333333328	0.94466666666666665	0.88181818181818172	0.85030303030303012	0.91348484848484846	inf	inf	inf	193.85714285714241
9	0.79782241095556539	0.74400455891717943	0.85066010215565302	0.77800000000000025	0.70800000000000007	0.84333333333333338	0.98333333333333328	0.96666666666666656	0.9966666666666667	0.98523809523809536	0.96999999999999997	0.99714285714285722	0.85976623376623362	0.82038528138528133	0.89838095238095239	0.91800000000000015	0.87400000000000011	0.95533333333333337	0.88712121212121209	0.85606060606060619	0.917121212121212	inf	inf	inf	206.76576576576539
10	0.81124418202596105	0.75939043776116333	0.86467410205100903	0.80066666666666675	0.73399999999999987	0.86533333333333351	0.97666666666666657	0.95333333333333325	0.9933333333333334	0.98023809523809535	0.96142857142857141	0.99428571428571433	0.87395670995670982	0.83548051948051949	0.9115238095238094	0.92800000000000016	0.88466666666666649	0.96533333333333349	0.89439393939393941	0.86318181818181794	0.9249999999999996	inf	inf	inf	168.12852365026217
20	0.89752075848565849	0.85911679714128253	0.93567708229259428	0.89733333333333321	0.85199999999999976	0.94333333333333313	0.98333333333333339	0.96333333333333326	0.9966666666666667	0.98547619047619051	0.96928571428571419	0.99714285714285722	0.93152380952380953	0.90328571428571391	0.95976190476190471	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.94348484848484848	0.92196969696969677	0.96469696969696972	inf	inf	inf	515.67532467532578
30	0.93188868141613956	0.90265344628496758	0.95966691479408339	0.93866666666666676	0.90733333333333321	0.96733333333333316	0.98333333333333328	0.96333333333333337	0.9966666666666667	0.98595238095238102	0.9709523809523809	0.99714285714285722	0.95642857142857129	0.93499999999999983	0.97571428571428587	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.96303030303030301	0.94712121212121214	0.97833333333333317	inf	inf	inf	902.95652173912913
40	0.9412332230219802	0.91504360644333937	0.96461918571175698	0.95000000000000018	0.92000000000000015	0.97400000000000009	0.98333333333333328	0.96999999999999997	0.99666666666666659	0.98523809523809536	0.97285714285714275	0.99714285714285711	0.96428571428571419	0.94285714285714273	0.98142857142857143	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.96833333333333327	0.95424242424242411	0.98090909090909084	inf	inf	inf	1121.0000000000007
50	0.95362642887946247	0.93053372720625149	0.97396372731759751	0.95733333333333337	0.93000000000000016	0.97800000000000009	0.9900000000000001	0.9766666666666669	1.0	0.99095238095238092	0.97952380952380946	1.0	0.96928571428571419	0.94999999999999996	0.98357142857142865	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.97515151515151499	0.96257575757575742	0.98606060606060608	inf	inf	inf	2221.312500000025
60	0.96055153268481763	0.94013115971501693	0.98005246388600664	0.96933333333333338	0.94733333333333336	0.98599999999999999	0.9866666666666668	0.97333333333333338	0.9966666666666667	0.98809523809523792	0.97619047619047605	0.99714285714285722	0.97714285714285709	0.96000000000000019	0.98857142857142866	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.97893939393939389	0.96803030303030269	0.98939393939393927	inf	inf	inf	2339.0434782608972
70	0.96742838583638457	0.9480587798206489	0.98383240213214418	0.97733333333333339	0.95933333333333326	0.99266666666666648	0.9866666666666668	0.97333333333333338	0.9966666666666667	0.98809523809523792	0.97619047619047605	0.99714285714285722	0.98285714285714276	0.96857142857142831	0.99428571428571433	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.98257575757575732	0.97227272727272718	0.99136363636363622	inf	inf	inf	3190.7058823529819
80	0.96433147093095495	0.94496186491521894	0.98107699889706823	0.97733333333333339	0.95933333333333326	0.99266666666666648	0.98333333333333339	0.96999999999999997	0.99666666666666659	0.98523809523809514	0.97285714285714275	0.99714285714285711	0.98285714285714276	0.96857142857142831	0.99428571428571433	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.98090909090909084	0.97060606060606036	0.98984848484848476	inf	inf	inf	2543.9411764706038
90	0.96123455602552521	0.94162853158188586	0.97981604545810308	0.97733333333333339	0.95933333333333326	0.99266666666666648	0.97999999999999998	0.96333333333333337	0.9933333333333334	0.98238095238095224	0.96809523809523801	0.99428571428571433	0.98285714285714276	0.96857142857142831	0.99428571428571433	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.97924242424242425	0.96878787878787875	0.98924242424242426	inf	inf	inf	2112.7647058823559
100	0.96089304435517153	0.94118192666908174	0.98039397555636043	0.97333333333333327	0.95333333333333325	0.98933333333333351	0.98333333333333339	0.96999999999999997	0.99666666666666659	0.98523809523809514	0.97285714285714275	0.99714285714285711	0.97999999999999987	0.96571428571428541	0.99142857142857144	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.9790909090909089	0.96863636363636341	0.98954545454545439	inf	inf	inf	2153.5000000000027
200	0.96099813759762154	0.94102436954062485	0.98002623194300342	0.97400000000000009	0.95533333333333337	0.9893333333333334	0.98333333333333339	0.96999999999999986	0.99666666666666659	0.98476190476190484	0.97142857142857142	0.99714285714285711	0.97999999999999998	0.96571428571428553	0.99142857142857144	0.95599999999999996	0.93000000000000005	0.9786666666666668	0.9790909090909089	0.96848484848484828	0.98924242424242403	inf	inf	inf	2210.230769230785
