FS_WITH_BEST_MCC	2
STEP	MCC	MCC_MIN	MCC_MAX	SENS	SENS_MIN	SENS_MAX	SPEC	SPEC_MIN	SPEC_MAX	PPV	PPV_MIN	PPV_MAX	NPV	NPV_MIN	NPV_MAX	AUC	AUC_MIN	AUC_MAX	ACC	ACC_MIN	ACC_MAX	DOR	DOR_MIN	DOR_MAX	DOR_APPROX
1	-0.085769948725896827	-0.15888231555781951	-0.01383457600539726	0.29199999999999998	0.23933333333333329	0.34733333333333344	0.62666666666666682	0.55333333333333357	0.69666666666666655	0.41089682539682543	0.33949206349206357	0.4844841269841268	0.480940836940837	0.44761183261183268	0.51221861471861485	0.32211111111111118	0.27422222222222226	0.36933333333333335	0.47000000000000008	0.43666666666666659	0.50075757575757585	nan	inf	nan	0.69229217110573094
2	0.018243834625735981	-0.061437652597115831	0.096971510218385515	0.36599999999999983	0.29133333333333328	0.44333333333333313	0.64666666666666672	0.58000000000000007	0.7200000000000002	0.45899999999999991	0.38368253968253968	0.53287301587301594	0.54060750360750365	0.5050043290043289	0.57962337662337682	0.45533333333333348	0.40222222222222226	0.50199999999999989	0.5171212121212122	0.48060606060606065	0.551969696969697	nan	inf	nan	1.0565442533182545
3	0.017713701247732767	-0.061177748901250141	0.092202958486877248	0.42466666666666664	0.34933333333333322	0.49666666666666665	0.58666666666666689	0.51666666666666672	0.66333333333333333	0.46139249639249624	0.38855844155844155	0.52844733044733028	0.52861976911976916	0.48602092352092358	0.57067965367965379	0.50155555555555553	0.4511111111111113	0.54799999999999993	0.51151515151515137	0.47651515151515156	0.54560606060606065	nan	nan	nan	1.047658206556275
4	-0.013580269115086504	-0.080809531719306757	0.050788500109112518	0.4446666666666666	0.3673333333333334	0.51466666666666672	0.55000000000000004	0.47999999999999998	0.62333333333333307	0.42934054834054824	0.36359018759018769	0.48676046176046178	0.5038614718614719	0.45296103896103873	0.55169480519480529	0.50655555555555543	0.46211111111111086	0.54666666666666652	0.5006060606060605	0.46984848484848485	0.52984848484848501	nan	nan	nan	0.97865812991863399
5	-0.013716557894953145	-0.083954857392023921	0.053681516929592048	0.46399999999999997	0.3879999999999999	0.53066666666666662	0.53666666666666674	0.46333333333333337	0.60999999999999988	0.4339119769119768	0.37332467532467534	0.48449206349206358	0.48761904761904767	0.43614357864357872	0.53700432900432904	0.50911111111111107	0.46411111111111125	0.55022222222222217	0.50242424242424233	0.46969696969696967	0.53393939393939394	nan	nan	nan	1.0026844196284765
6	-0.0070094352788875212	-0.080587517460520244	0.067034575173078023	0.51000000000000012	0.436	0.57666666666666666	0.49666666666666681	0.42999999999999994	0.56000000000000005	0.4572972582972582	0.41211038961038959	0.50111904761904769	0.50298773448773448	0.44246825396825401	0.55714213564213566	0.53499999999999981	0.48977777777777776	0.57388888888888867	0.50287878787878781	0.46999999999999997	0.53575757575757588	nan	1.7131666666666669	nan	1.0270306798215987
7	-0.0041260757098925249	-0.075179533095197065	0.07369857729250319	0.502	0.43400000000000011	0.57466666666666677	0.5066666666666666	0.44333333333333336	0.56999999999999984	0.45458658008657998	0.40461038961038936	0.50102669552669543	0.49955122655122658	0.4445873015873017	0.55382106782106799	0.54055555555555546	0.49444444444444458	0.58177777777777806	0.50439393939393928	0.47303030303030313	0.53878787878787893	nan	1.6814999999999996	nan	1.0352762400955171
8	-0.02421942435989272	-0.097769632139886861	0.053139804368039681	0.48199999999999998	0.41599999999999993	0.55200000000000016	0.50666666666666671	0.44666666666666666	0.56666666666666665	0.4450036075036074	0.39451154401154392	0.4917417027417027	0.50264285714285717	0.45142063492063494	0.54899999999999993	0.52944444444444438	0.47811111111111104	0.57555555555555571	0.49530303030303025	0.46257575757575753	0.52848484848484834	nan	1.2879999999999998	nan	0.95565063132630701
9	-0.034281253579161619	-0.10828404920317317	0.040532436846171312	0.48666666666666669	0.42333333333333328	0.55266666666666686	0.48999999999999999	0.42666666666666669	0.54999999999999982	0.44338888888888872	0.39698412698412688	0.48947619047619062	0.49705122655122652	0.4464603174603175	0.54375757575757566	0.52544444444444449	0.47944444444444456	0.57000000000000017	0.48833333333333323	0.45393939393939392	0.52242424242424246	nan	1.2263333333333333	nan	0.910873440285205
10	-0.032630498819730673	-0.10898241176338601	0.036898482489297425	0.47599999999999987	0.41399999999999998	0.54200000000000026	0.5	0.43666666666666676	0.56000000000000016	0.44494444444444425	0.39742857142857135	0.48947619047619051	0.50026551226551219	0.45614213564213579	0.54390836940836951	0.52277777777777779	0.47233333333333344	0.56766666666666676	0.48803030303030293	0.45196969696969708	0.52121212121212124	nan	1.2050000000000001	nan	0.90839694656488501
20	-0.057014786701724704	-0.12512863969315016	0.016465767235998959	0.43599999999999994	0.37799999999999989	0.50066666666666659	0.51666666666666661	0.46000000000000008	0.57333333333333347	0.4394444444444443	0.38863492063492061	0.49138888888888893	0.49033694083694085	0.44923809523809533	0.53176984126984139	0.50344444444444436	0.45288888888888906	0.55088888888888887	0.47757575757575749	0.44636363636363618	0.51136363636363646	inf	1.0258333333333334	inf	0.82636341403766167
30	-0.070307999947427507	-0.14272994875548814	0.0087781994199485486	0.42999999999999994	0.36533333333333329	0.49800000000000016	0.5099999999999999	0.44333333333333336	0.57000000000000028	0.42106349206349186	0.36622222222222212	0.47283333333333333	0.48391269841269841	0.44089971139971129	0.53022655122655138	0.49466666666666653	0.44322222222222218	0.54533333333333323	0.47060606060606053	0.43712121212121202	0.50757575757575757	nan	1.0694666666666668	nan	0.78517722878625085
40	-0.081263755910922164	-0.15273775070745937	-0.0077217318889694127	0.39999999999999991	0.33666666666666667	0.46666666666666662	0.52666666666666662	0.46666666666666673	0.58666666666666667	0.42173015873015857	0.3601428571428571	0.47832539682539682	0.48794444444444457	0.45152236652236644	0.52700432900432903	0.47655555555555579	0.42366666666666669	0.5256666666666665	0.46560606060606063	0.43378787878787883	0.49848484848484859	inf	0.9301666666666667	inf	0.74178403755868505
50	-0.096374552193441085	-0.17270402233438098	-0.016834546769932818	0.39333333333333331	0.3239999999999999	0.46533333333333338	0.52666666666666662	0.46333333333333326	0.58666666666666689	0.3918968253968253	0.33286507936507936	0.45543650793650797	0.47993290043290054	0.43711544011544023	0.52188167388167384	0.46488888888888902	0.4127777777777778	0.51377777777777778	0.46196969696969703	0.42833333333333329	0.49696969696969717	nan	0.90600000000000014	nan	0.72140535520817195
60	-0.10156242889617943	-0.17872709382804441	-0.014654131589362778	0.38533333333333325	0.31999999999999995	0.44933333333333336	0.52666666666666662	0.46333333333333337	0.58333333333333348	0.38959523809523799	0.33323809523809522	0.45152380952380949	0.48081746031746042	0.43978932178932184	0.52429797979797976	0.46066666666666661	0.40688888888888874	0.51355555555555576	0.4584848484848485	0.42378787878787882	0.49787878787878798	nan	0.88966666666666672	nan	0.69753444746570492
70	-0.093541830036215246	-0.16747976081688085	-0.014566602308992239	0.39399999999999985	0.32799999999999996	0.46066666666666684	0.52666666666666662	0.46333333333333343	0.58666666666666678	0.39893650793650787	0.34126190476190471	0.45790476190476176	0.47844877344877351	0.43470274170274159	0.52069119769119787	0.47199999999999998	0.41966666666666669	0.52444444444444449	0.46227272727272717	0.4278787878787878	0.49803030303030321	nan	0.89466666666666672	nan	0.72342304653000455
80	-0.075917310171413024	-0.15664277046706182	0.0049787025175506471	0.40533333333333327	0.3333333333333332	0.47200000000000009	0.52999999999999992	0.46666666666666673	0.59000000000000019	0.41210317460317453	0.3493412698412699	0.48012698412698412	0.48831024531024542	0.44491774891774888	0.53217965367965381	0.47755555555555562	0.42566666666666669	0.52955555555555556	0.46909090909090906	0.43348484848484864	0.50696969696969696	nan	1.2601666666666667	nan	0.76862894761950151
90	-0.077700825015984729	-0.14991758338871294	0.00095880490985858046	0.3933333333333332	0.3246666666666666	0.45866666666666667	0.54333333333333333	0.47666666666666679	0.60666666666666658	0.39981746031746018	0.33944444444444444	0.45967460317460324	0.49198845598845609	0.45157575757575752	0.53428571428571436	0.47600000000000009	0.42388888888888909	0.52477777777777779	0.47090909090909094	0.4383333333333333	0.50651515151515147	nan	1.0167666666666668	nan	0.77139648672495353
100	-0.083831381936303961	-0.16082957056040048	-0.0065918505401316553	0.38866666666666655	0.3239999999999999	0.45733333333333342	0.54000000000000004	0.47333333333333344	0.60333333333333328	0.40710317460317458	0.34879365079365082	0.47369841269841267	0.4836038961038962	0.44045382395382382	0.52761616161616165	0.48666666666666664	0.43366666666666681	0.53900000000000003	0.46696969696969703	0.43393939393939396	0.50318181818181817	nan	1.1068	nan	0.74633730027025713
200	-0.092228031170356481	-0.16681944034459639	-0.012831179445641836	0.3839999999999999	0.31599999999999989	0.45200000000000001	0.53666666666666663	0.47333333333333338	0.59666666666666668	0.39591269841269827	0.33664285714285719	0.46338095238095234	0.48467893217893226	0.44666305916305921	0.52622943722943727	0.48877777777777781	0.43799999999999994	0.53822222222222216	0.46348484848484844	0.42893939393939395	0.50166666666666659	nan	1.1214999999999999	nan	0.72204054937867845
300	-0.089366755804839673	-0.16859029378230886	-0.0057380012025827314	0.39199999999999996	0.32266666666666666	0.45933333333333359	0.52999999999999992	0.46333333333333343	0.59333333333333327	0.40115079365079354	0.34188095238095234	0.46871428571428575	0.48453607503607515	0.44418253968253957	0.5288484848484849	0.45022222222222225	0.40366666666666667	0.49633333333333352	0.46393939393939393	0.42636363636363633	0.50454545454545463	nan	1.1273333333333333	nan	0.72704367301231754
346	-0.083549056360591845	-0.15818855131322171	-0.00089401074199021708	0.39199999999999996	0.32266666666666666	0.45933333333333359	0.53666666666666663	0.47333333333333344	0.59666666666666668	0.40281746031746019	0.34347619047619049	0.46807142857142858	0.48721861471861483	0.4487272727272727	0.52857142857142858	0.44911111111111113	0.40033333333333332	0.496	0.4671212121212121	0.43333333333333351	0.50439393939393939	nan	1.1274	nan	0.74678152215070015
